sam_address_id,zip_code,latitude,longitude,trashday
167136,02128,42.3756370640035,-71.03653535346152,Tuesday
167137,02128,42.3756798917686,-71.03646548893552,Tuesday
167138,02128,42.37571733702709,-71.03639300490507,Tuesday
167139,02128,42.37500475681174,-71.03657617226051,Tuesday
167365,02128,42.36670482912351,-71.0387229696617,Wednesday
167367,02128,42.36597918499791,-71.03703360058623,Wednesday
167368,02128,42.36589665916182,-71.03683677333828,Wednesday
167381,02128,42.37944852208954,-71.03835068326497,Monday
167382,02128,42.37894177970039,-71.03803038343283,Monday
167383,02128,42.37936958374781,-71.03791185627719,Monday
167384,02128,42.3786751634832,-71.03748038917168,Monday
167385,02128,42.37810027409997,-71.03709076624645,Monday
167386,02128,42.37649255187376,-71.0363611962493,Tuesday
167387,02128,42.37639183410789,-71.03628255884881,Tuesday
167388,02128,42.37643355393893,-71.03628288749532,Tuesday
167389,02128,42.37603102307196,-71.03553128248096,Tuesday
167390,02128,42.37579321031017,-71.03561655526804,Tuesday
167391,02128,42.37559706977101,-71.03483140029157,Tuesday
167392,02128,42.375338272333806,-71.03441860968246,Tuesday
167393,02128,42.37474813538128,-71.03435689592891,Tuesday
167394,02128,42.3748849431113,-71.0337172775797,Tuesday
167395,02128,42.3746974827767,-71.03342523215932,Tuesday
167396,02128,42.37432331537634,-71.03331462019219,Thursday
167402,02128,42.37922383325149,-71.0382793962335,Monday
167513,02128,42.36954862404736,-71.03720056133224,Wednesday
167514,02128,42.36928266142365,-71.03727905317695,Wednesday
167515,02128,42.36925659616085,-71.03720628517594,Wednesday
167516,02128,42.36949249694895,-71.03707870712131,Wednesday
167517,02128,42.36921596658322,-71.0364527009657,Wednesday
167518,02128,42.3691064298904,-71.03616813884437,Wednesday
167520,02128,42.36851242163088,-71.034818610359,Wednesday
167522,02128,42.36797324082189,-71.03450579271802,Wednesday
167523,02128,42.36520029992931,-71.02826196323589,Wednesday
167524,02128,42.36938104537894,-71.03982398197132,Tuesday
167525,02128,42.36897790253738,-71.03920866290473,Tuesday
167526,02128,42.36941373403296,-71.03881784155975,Tuesday
167612,02128,42.37028241555681,-71.03876560201459,Tuesday
167613,02128,42.37054704588633,-71.03874697486121,Tuesday
167614,02128,42.37060210941413,-71.03874831454551,Tuesday
167615,02128,42.37104756977242,-71.03866861590919,Tuesday
167616,02128,42.3715390623662,-71.0393249355445,Tuesday
167617,02128,42.37370492372477,-71.03882082655288,Tuesday
167618,02128,42.37578675688503,-71.03891944287201,Tuesday
167619,02128,42.37579556210233,-71.0393273535616,Monday
167620,02128,42.375923412592506,-71.03934454638227,Monday
167621,02128,42.3763560631674,-71.0393621554255,Monday
167622,02128,42.37657016387087,-71.03895022278975,Monday
167623,02128,42.37685792381088,-71.03891854077612,Monday
167624,02128,42.37692366571997,-71.03941964449224,Monday
167625,02128,42.3772915325504,-71.03897773397213,Monday
167626,02128,42.37727783552405,-71.03940392204149,Monday
167627,02128,42.37749752486949,-71.03894767998705,Monday
167628,02128,42.377781086128905,-71.03900582232743,Monday
167629,02128,42.37783558482395,-71.03943172156941,Monday
167630,02128,42.37805816156887,-71.0390149661721,Monday
167631,02128,42.377888162333,-71.03943374191674,Monday
167632,02128,42.377940744652896,-71.03943696409947,Monday
167633,02128,42.37816176261041,-71.0389535321121,Monday
167634,02128,42.37823156056921,-71.0389774388718,Monday
167635,02128,42.37848937148944,-71.03894177822609,Monday
167637,02128,42.37749752486949,-71.03894767998705,Monday
167638,02128,42.37892878465662,-71.03899425978292,Monday
167639,02128,42.3801248967857,-71.03951087182071,Monday
167640,02128,42.38043117834081,-71.0390648684355,Monday
167641,02128,42.38072986981347,-71.03887483069087,Monday
167642,02128,42.38171458436015,-71.03898806287198,Monday
167643,02128,42.38244890743645,-71.0395174766572,Monday
167644,02128,42.38244890743645,-71.0395174766572,Monday
167765,02128,42.379386405286525,-71.03879889944238,Monday
167792,02128,42.38294146915911,-71.01886157140153,Thursday
167793,02128,42.38210319245981,-71.01826360614973,Thursday
167794,02128,42.381623044721344,-71.01737902985525,Thursday
167795,02128,42.38335483695856,-71.01914889137105,Thursday
